CNET_LOCAL_TABLE_V1
dataset unicode17_lower_latin1
authority verified_tool
input_bits 8
output_bits 16
rows 56
65	97
66	98
67	99
68	100
69	101
70	102
71	103
72	104
73	105
74	106
75	107
76	108
77	109
78	110
79	111
80	112
81	113
82	114
83	115
84	116
85	117
86	118
87	119
88	120
89	121
90	122
192	224
193	225
194	226
195	227
196	228
197	229
198	230
199	231
200	232
201	233
202	234
203	235
204	236
205	237
206	238
207	239
208	240
209	241
210	242
211	243
212	244
213	245
214	246
216	248
217	249
218	250
219	251
220	252
221	253
222	254
