CNET_LOCAL_TABLE_V1
dataset unicode17_upper_latin1
authority verified_tool
input_bits 8
output_bits 16
rows 58
97	65
98	66
99	67
100	68
101	69
102	70
103	71
104	72
105	73
106	74
107	75
108	76
109	77
110	78
111	79
112	80
113	81
114	82
115	83
116	84
117	85
118	86
119	87
120	88
121	89
122	90
181	924
224	192
225	193
226	194
227	195
228	196
229	197
230	198
231	199
232	200
233	201
234	202
235	203
236	204
237	205
238	206
239	207
240	208
241	209
242	210
243	211
244	212
245	213
246	214
248	216
249	217
250	218
251	219
252	220
253	221
254	222
255	376
