6414008a10112900 fffffffb9ffcffef 4 5
098486a027a0002c ddffefbef7fe7fdb 5 6
14100500203801b0 fffb9ffebbfffdff 1 3
4088d0080411482a ff7fffffefceffff 5 4
023c184043903004 fbfbfdffffffbdff 6 0
182d8080a70000aa dbb9bdffeffffbff 6 1
180c004f020a5010 bffffefeedeeef7f 3 1
6232034200080198 bbd7feefedefffaf 3 7
6a04426862602818 fffffff7ffffe6df 0 7
0201058101000080 bffaffffffff667f 1 6
2ab803c89080100a dfffefbfffeff6fc 5 2
44a2060222a18008 ffebff7ffffffffa 5 1
420690c02202a040 5bdfbfaffcdefbfb 7 0
100158ce00a01106 777fffefffbfff6f 6 5
010218000211c500 fdbfbffefff39efa 6 5
20220041a68a69c0 9fecffeffffffcfe 4 0
0001022c87a02040 fdffffddec7f7b5f 2 1
0000814084124108 f5ffbfff7ffffbd7 5 3
2411118530807142 ffff6d7ffdfeb7f7 5 1
3a2e046272a20c00 7fef7f7fffefff3f 5 1
409840a10281a8a8 ffffffffffff73fb 5 3
2d20508010000404 65fbfdbfeffddedf 2 4
4110408184800086 fbffff8ddf9ffbac 0 1
019001803052c008 eb9bfd77b3befffd 4 7
04308108743b6c04 effddfffbfffdeff 1 3
382ec00205c0444a fce7fff75b7dfffe 1 3
282bd080c4880442 fffffff7fddffbf7 1 3
64120022206880d2 ffbfff9fd7f37fff 4 2
24810e0810710000 feaf99ffff67bffa 6 4
5084010200923008 fef7fffff7bffbff 7 3
160b0005008050c8 cdffffffdbdeffff 5 4
28080c0000387908 ce7ffbf5fffedfef 2 1
0000884484f05080 d5ffb6cbf6f83fae 3 2
240910a1204b1804 edfffeffffeedfef 3 2
081a100800501802 defeed7ffb7ffe7f 1 3
0822040001400004 79bffe9b5df5ffdf 3 5
1805408822804820 fefee7f7fd7ffa35 1 6
0a008aac10401d0a bfbffffff7ef7bee 0 4
1034c408839290e0 fbbb9afffddfcff5 5 0
0014002801009500 feffffffff7fefff 5 7
200c900554602038 ffdfdfffffbf5ae7 4 2
1284490e34006808 fefb77fedbfeffbb 5 4
